num_ordre;plan_id;budget;typcredit;immobilisation;credit;centre_cout;projet;localisation;montant_estime;composante;montant_dispo;designation;type;mode;nbr_lot;agent_id;date_tech;date_tech_reel;date_dgcmef;date_dgcmef_reel;date_off;date_off_reel;temp;temp_reel;date_resultat;resultat;date_visite_site;date_demarrage;date_reel_demarrage;delai_exe;delai_reel_exe;date_butoir;date_reel_fin;budget_travaux;observation;statut
46;;Fonds Propres Investissement;;;;246620000;;DD/DDA;209 000 000;Transformateurs BT et HT Financement SONABEL;209 000 000;Postes mobiles 250kVA * 400kVA * 630kVA;2;AO;;1;;;09/08/2023;;09/08/2023;;3;;;;;12/09/2023;;180;;15/11/2023;;;;Projet
48;;Fonds Propres Investissement;;;;;;DD / DDC;130 000 000;Restructuration du réseau HTA;130 000 000;Modélisation de départs HTA/BT;3;DP;1;1;;;21/03/2023;;20/04/2023;;3;;;;;18/08/2023;;120;;16/12/2023;;;;PPM
49;;Fonds Propres Investissement;;;;;;DD / DETD;300 000 000;Eclairage public;300 000 000;Télégestion des feux tricolores (ao en cours);1;AO;1;1;;;45111;12/04/2023;45112;19/05/2023;3;;;;;45054;;180;;45293;;;;PPM
50;3;Fonds Propres Investissement;;;;;;DP/DPTCE;160 000 000; intégration de cellules et de Bobine;160 000 000;Acquisition et intégration de cellules et de Bobine du point neutre;2;AO;3;1;;;24/03/2023;05/04/2023;23/04/2023;;3;;;;;22/07/2023;;150;;19/12/2023;;;;PPM
51;3;Fonds Propres Investissement;;;;;;DEPI/DIPI;930 000 000;Réseau électrique BT et HT financement SONABEL;930 000 000;Electrification de 18 localités (Soumara Boumba, Tiao, Dissi, Yimdi, Ouarmini, Sassa, Kalzi, Bilgo, etc.);1;AO;1;1;;;28/02/2023;;30/03/2023;;3;;;;;28/06/2023;;270;;24/03/2024;;;;PPM
52;3;Fonds Propres Investissement;;;;;;DEPI/DIPI;418 500 000;Restructuration du réseau HTA/BTA;418 500 000;Construction de nouveaux postes 15 kV et 33 kV de Kossodo;1;AO;2;1;;;24/03/2023;;23/04/2023;;3;;;;;22/07/2023;;270;;17/04/2024;;;;PPM
55;3;Fonds Propres Investissement;;;;;;DTME/DT;83 110 000;Commande électrique, de disjoncteur 225kV et de mousqueton d'échafaudage;83 110 000;Acquisition d'un coffret de commande électrique, de disjoncteur 225 kV et de mousqueton d'échafaudage pour la DMLB;2;AO;3;1;;;45203;;45204;;3;;;;;45146;;120;;45089;;;;PPM
54;3;Fonds Propres Investissement;;;;;;DP / DPTCE;562 500 000;Acquisition de transformateurs de puissance;562 500 000;Acquisition de transformateurs de puissance;2;AO;2;1;;;45111;;45112;;3;;;;;45054;;150;;45323;;;;PPM
56;3;Fonds Propres Investissement;;;;;;DD/DDA;400 824 000;Matériel Radio Communication;400 824 000;Acquisition d'équipement pour la télégestion des départs HTA de Ouaga;2;AO;1;1;;;45050;;45051;;3;;;;;44993;;120;;44938;;;;PPM
53;3;Fonds Propres Investissement;;;;;;DEPI/DIPI;865 050 000;Restructuration du réseau HTA/BTA;865 050 000;Renforcement du réseau HTA du Centre-Est (Tenkodogo, Bittou, Koupéla, Cinkansé);1;AO;1;1;;;44989;;44990;;3;;;;;44934;;270;;27/04/2024;;;;PPM
57;3;Fonds Propres Investissement;;;;;;DCC / DRCNS;73 440 000;Restructuration du réseau HTA/BTA;73 440 000;Télégestion des IAT;1;DPX;1;1;;;45050;;45051;;3;;;;;44993;;150;;31/12/2023;;;;Projet
58;3;Fonds Propres Investissement;;;;;;DP/DPH;150 000 000;Transformateurs BT et HT Financement SONABEL;150 000 000;Transformateurs BT et HT REACTANCE 4,5MVAR 132KV;2;AO;1;1;;;17/03/2023;;16/04/2023;;3;;;;;15/07/2023;;150;;45272;;;;PPM
59;3;Fonds Propres Investissement;;;;;;DCC/DRCO;150 000 000;Matériel et outillage;150 000 000;Acquisition et installation de OCR BOROMO;2;AO;1;1;;;17/03/2023;29/06/2023;16/04/2023;;3;;;;;15/07/2023;;150;;45272;;;;PPM
60;3;Fonds Propres Investissement;;;;;;DD/DDA;566 749 000;Restructuration du réseau HTA/BTA;566 749 000;Restructuration réseau HTA : insertion d'IACT;1;AO;2;1;;;22/03/2023;;21/04/2023;;3;;;;;20/07/2023;;150;;17/12/2023;;;;PPM
61;3;Fonds Propres Investissement;;;;;;DD/DDA;257 789 000;Restructuration du réseau HTA/BTA;257 789 000;Restructuration réseau HTA : insertion d'IACM;1;AO;4;1;;;17/03/2023;;16/04/2023;;3;;;;;15/07/2023;;150;;45272;;;;PPM
62;3;Fonds Propres Investissement;;;;;;DGP/PR-RNI;300 000 000;Passage en 33 kV du réseau de Koudougou;300 000 000;Passage en 33 kV du réseau de Koudougou;1;AO;1;1;;;24/03/2023;;23/04/2023;;3;;;;;22/07/2023;;270;;17/04/2024;;;;PPM
63;3;Fonds Propres Investissement;;;;;;DD/DDA;250 000 000;Extension des réseaux HTA/BT;250 000 000;Extension des réseaux HTA/BT;1;AO;1;1;;;29/03/2023;;28/04/2023;;3;;;;;27/07/2023;;270;;22/04/2024;;;;PPM
64;3;Fonds Propres Investissement;A;;A;;;Selectionner;7 173 016 000;Restructuration du réseau HTA/BTA;7 173 016 000;Restructuration et Extension du réseau HTA/BTA;1;AOO;8;1;;;24/03/2023;;45142;;1;;;;;22/07/2023;;270;;17/04/2024;;;;PPM
65;3;Fonds Propres Investissement;;;;;;DD/DDC;56 000 000;Acquisition d'une caméra IR;56 000 000;Acquisition de caméra infrarouge;2;DPX;2;1;;;30/03/2023;29/05/2023;14/05/2023;;1;;;;;28/06/2023;;90;;26/09/2023;;;;PPM
67;3;Fonds Propres Investissement;;;;;;DSI/DSRS;52 250 000;Matériel de communication informatique;52 250 000;Acquisition et installation d'IPBX et de postes SIP à Ouagadougou et Ouahigouya;2;DPX;3;1;;;45111;29/03/2023;22/04/2023;;1;;;;;45084;;120;;44996;;;;PPM
66;3;Fonds Propres Investissement;;;;;;DP/DPTCE;43 864 000;Groupes Electrogènes;43 864 000;Fourniture, installation et mise en service de groupes électrogènes secours;2;DPX;3;1;;;29/03/2023;;13/04/2023;;1;;;;;27/06/2023;;120;;25/10/2023;;;;PPM
43;3;Fonds Propres Investissement;;;;;;DD/DETD;200 000 000;Eclairage public;200 000 000;Construction et Réhabilitation  de feux tricolores;1;AO;2;1;;;24/03/2023;;23/04/2023;;3;;;;;22/07/2023;;240;;18/03/2024;;;;PPM
44;3;Fonds Propres Investissement;;;;;;DD/DDA;820 180 000;Eclairage public;820 180 000;Extension du réseau EP et Réhabilitation EP;1;AO;3;1;;;45111;;45112;;3;;;;;45054;;240;;45295;;;;PPM
